age_group,hour,room,avg_minutes_per_day,avg_hours_per_day,weighted_respondents,unweighted_respondents,share_of_hour
18-24,0,Sleep,50.022544823694844,0.8337090803949141,10717529189.496117,372,0.833709080394914
18-24,0,Work,0.37064550744196684,0.006177425124032781,10717529189.496117,372,0.00617742512403278
18-24,0,Education,0.6776456575269093,0.011294094292115154,10717529189.496117,372,0.011294094292115154
18-24,0,Household Activities,0.0508241172131902,0.0008470686202198366,10717529189.496117,372,0.0008470686202198365
18-24,0,Leisure,8.327712742659218,0.13879521237765363,10717529189.496117,372,0.1387952123776536
18-24,0,Caregiving,0.04737653234597221,0.0007896088724328701,10717529189.496117,372,0.00078960887243287
18-24,0,Travel,0.5032506191179072,0.008387510318631787,10717529189.496117,372,0.008387510318631787
18-24,1,Sleep,54.7380012194051,0.9123000203234183,10717529189.496117,372,0.9123000203234183
18-24,1,Work,0.43825506848767903,0.007304251141461317,10717529189.496117,372,0.007304251141461317
18-24,1,Education,0.20282836178849742,0.003380472696474957,10717529189.496117,372,0.003380472696474957
18-24,1,Household Activities,0.17271930830910573,0.0028786551384850953,10717529189.496117,372,0.0028786551384850953
18-24,1,Leisure,4.407639856142906,0.07346066426904845,10717529189.496117,372,0.07346066426904845
18-24,1,Caregiving,0.008346527250438556,0.00013910878750730927,10717529189.496117,372,0.00013910878750730927
18-24,1,Travel,0.032209658616275894,0.0005368276436045982,10717529189.496117,372,0.0005368276436045982
18-24,2,Sleep,56.53566211739848,0.9422610352899746,10717529189.496117,372,0.9422610352899746
18-24,2,Work,0.43825506848767903,0.007304251141461317,10717529189.496117,372,0.007304251141461317
18-24,2,Education,0.13864619596483427,0.002310769932747238,10717529189.496117,372,0.002310769932747238
18-24,2,Household Activities,0.24682407500761985,0.004113734583460331,10717529189.496117,372,0.004113734583460331
18-24,2,Leisure,2.6406125431413905,0.04401020905235651,10717529189.496117,372,0.04401020905235651
18-24,3,Sleep,57.50965890468554,0.9584943150780922,10717529189.496117,372,0.9584943150780921
18-24,3,Work,0.37756647204642224,0.006292774534107037,10717529189.496117,372,0.0062927745341070365
18-24,3,Education,0.07446403014117112,0.0012410671690195186,10717529189.496117,372,0.0012410671690195184
18-24,3,Household Activities,0.2791107259920534,0.00465184543320089,10717529189.496117,372,0.004651845433200889
18-24,3,Leisure,1.6943379136253895,0.028238965227089827,10717529189.496117,372,0.028238965227089824
18-24,3,Caregiving,0.04821797447279042,0.0008036329078798404,10717529189.496117,372,0.0008036329078798403
18-24,3,Travel,0.01664397903663994,0.00027739965061066566,10717529189.496117,372,0.00027739965061066566
18-24,4,Sleep,56.19118164277138,0.9365196940461897,10717529189.496117,372,0.9365196940461896
18-24,4,Work,1.2713472781149744,0.02118912130191624,10717529189.496117,372,0.021189121301916237
18-24,4,Education,0.025247349458828647,0.0004207891576471441,10717529189.496117,372,0.00042078915764714406
18-24,4,Household Activities,0.32823862310068164,0.005470643718344694,10717529189.496117,372,0.0054706437183446935
18-24,4,Leisure,1.8212463106538064,0.03035410517756344,10717529189.496117,372,0.030354105177563435
18-24,4,Caregiving,0.043709088888089546,0.0007284848148014924,10717529189.496117,372,0.0007284848148014924
18-24,4,Travel,0.31902970701224226,0.005317161783537371,10717529189.496117,372,0.00531716178353737
18-24,5,Sleep,53.64302998775389,0.8940504997958982,10717529189.496117,372,0.8940504997958982
18-24,5,Work,2.2014483890302086,0.03669080648383681,10717529189.496117,372,0.03669080648383681
18-24,5,Household Activities,0.23867592366782375,0.003977932061130396,10717529189.496117,372,0.003977932061130396
18-24,5,Leisure,2.3898019254073106,0.03983003209012184,10717529189.496117,372,0.03983003209012184
18-24,5,Caregiving,0.24821213607903317,0.004136868934650552,10717529189.496117,372,0.004136868934650552
18-24,5,Travel,1.2788316380617366,0.02131386063436228,10717529189.496117,372,0.02131386063436228
18-24,6,Sleep,49.95723219510279,0.8326205365850465,10717529189.496117,372,0.8326205365850465
18-24,6,Work,3.8642867264054144,0.06440477877342357,10717529189.496117,372,0.06440477877342357
18-24,6,Education,0.25548088357424686,0.004258014726237448,10717529189.496117,372,0.004258014726237448
18-24,6,Household Activities,1.1347674088057669,0.01891279014676278,10717529189.496117,372,0.01891279014676278
18-24,6,Leisure,2.9818240965215654,0.04969706827535943,10717529189.496117,372,0.04969706827535943
18-24,6,Caregiving,0.2964119708614105,0.004940199514356842,10717529189.496117,372,0.004940199514356842
18-24,6,Travel,1.5099967187288037,0.025166611978813393,10717529189.496117,372,0.025166611978813393
